scenario,round,client_id,class,precision,recall,f1
Non-IID,10,12,2,1.0,0.8,0.888888888888889
Non-IID,10,12,3,1.0,1.0,1.0
Non-IID,10,12,4,0.9,0.9,0.9
Non-IID,10,12,5,0.0,0.0,0.0
Non-IID,10,12,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,10,12,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,10,12,8,0.5,1.0,0.6666666666666666
Non-IID,10,12,9,1.0,0.6,0.7499999999999999
Non-IID,10,11,0,0.8333333333333334,1.0,0.9090909090909091
Non-IID,10,11,1,1.0,1.0,1.0
Non-IID,10,11,2,1.0,0.8,0.888888888888889
Non-IID,10,11,3,1.0,1.0,1.0
Non-IID,10,11,4,0.9,0.9,0.9
Non-IID,10,11,5,0.0,0.0,0.0
Non-IID,10,11,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,10,11,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,10,11,8,0.5,1.0,0.6666666666666666
Non-IID,10,11,9,1.0,0.6,0.7499999999999999
Non-IID,11,19,0,1.0,0.9,0.9473684210526316
Non-IID,11,19,1,1.0,0.9,0.9473684210526316
Non-IID,11,19,2,0.6,0.9,0.7200000000000001
Non-IID,11,19,3,0.875,0.7,0.7777777777777777
Non-IID,11,19,4,1.0,0.6,0.7499999999999999
Non-IID,11,19,5,1.0,0.8,0.888888888888889
Non-IID,11,19,6,0.8181818181818182,0.9,0.8571428571428572
Non-IID,11,19,7,0.6666666666666666,1.0,0.8
Non-IID,11,19,8,0.8333333333333334,1.0,0.9090909090909091
Non-IID,11,19,9,0.7142857142857143,0.5,0.588235294117647
Non-IID,11,11,0,1.0,0.9,0.9473684210526316
Non-IID,11,11,1,1.0,0.9,0.9473684210526316
Non-IID,11,11,2,0.6,0.9,0.7200000000000001
Non-IID,11,11,3,0.875,0.7,0.7777777777777777
Non-IID,11,11,4,1.0,0.6,0.7499999999999999
Non-IID,11,11,5,1.0,0.8,0.888888888888889
Non-IID,11,11,6,0.8181818181818182,0.9,0.8571428571428572
Non-IID,11,11,7,0.6666666666666666,1.0,0.8
Non-IID,11,11,8,0.8333333333333334,1.0,0.9090909090909091
Non-IID,11,11,9,0.7142857142857143,0.5,0.588235294117647
Non-IID,12,13,0,0.625,1.0,0.7692307692307693
Non-IID,12,13,1,1.0,1.0,1.0
Non-IID,12,13,2,1.0,0.7,0.8235294117647058
Non-IID,12,13,3,1.0,0.1,0.18181818181818182
Non-IID,12,13,4,0.8333333333333334,0.5,0.625
Non-IID,12,13,5,0.4090909090909091,0.9,0.5625000000000001
Non-IID,12,13,6,1.0,0.7,0.8235294117647058
Non-IID,12,13,7,1.0,0.4,0.5714285714285715
Non-IID,12,13,8,0.0,0.0,0.0
Non-IID,12,13,9,0.37037037037037035,1.0,0.5405405405405406
Non-IID,12,3,0,0.625,1.0,0.7692307692307693
Non-IID,12,3,1,1.0,1.0,1.0
Non-IID,12,3,2,1.0,0.7,0.8235294117647058
Non-IID,12,3,3,1.0,0.1,0.18181818181818182
Non-IID,12,3,4,0.8333333333333334,0.5,0.625
Non-IID,12,3,5,0.4090909090909091,0.9,0.5625000000000001
Non-IID,12,3,6,1.0,0.7,0.8235294117647058
Non-IID,12,3,7,1.0,0.4,0.5714285714285715
Non-IID,12,3,8,0.0,0.0,0.0
Non-IID,12,3,9,0.37037037037037035,1.0,0.5405405405405406
Non-IID,13,15,0,0.7142857142857143,1.0,0.8333333333333333
Non-IID,13,15,1,1.0,1.0,1.0
Non-IID,13,15,2,0.8888888888888888,0.8,0.8421052631578948
